Agente,Ganadas,PromedioTirosVictoria,PromedioTirosDerrota
GoalBasedInsane,97993,61.4528,89.5127
Aleatorio,1982,90.4188,61.529
GoalBasedInsane,98018,61.529,89.4188
Aleatorio,1977,90.5979,61.4528
GoalBasedInsane,98023,61.4528,89.5979
Aleatorio,2039,90.4458,61.4701
GoalBasedInsane,97961,61.4701,89.4458
Aleatorio,1988,90.4281,61.5651
GoalBasedInsane,98012,61.5651,89.4281
Aleatorio,2054,90.3851,61.4629
GoalBasedInsane,97946,61.4629,89.3851
Aleatorio,2025,90.3857,61.4505
GoalBasedInsane,97975,61.4505,89.3857
Aleatorio,2033,90.483,61.5314
GoalBasedInsane,97967,61.5314,89.483
Aleatorio,2035,90.3803,61.4703
GoalBasedInsane,97965,61.4703,89.3803
Aleatorio,2005,90.3566,61.456
GoalBasedInsane,97995,61.456,89.3566
Aleatorio,1963,90.5053,61.551
GoalBasedInsane,98037,61.551,89.5053
Aleatorio,2037,90.4546,61.5091
GoalBasedInsane,97963,61.5091,89.4546
Aleatorio,2024,90.4323,61.4913
GoalBasedInsane,97976,61.4913,89.4323
Aleatorio,2076,90.4822,61.4798
GoalBasedInsane,97924,61.4798,89.4822
Aleatorio,2063,90.1881,61.4428
GoalBasedInsane,97937,61.4428,89.1881
Aleatorio,1980,90.2682,61.5532
GoalBasedInsane,98020,61.5532,89.2682
Aleatorio,2095,90.6358,61.4573
GoalBasedInsane,97905,61.4573,89.6358
Aleatorio,1964,90.2531,61.458
GoalBasedInsane,98036,61.458,89.2531
Aleatorio,2055,90.5995,61.3878
GoalBasedInsane,97945,61.3878,89.5995
Aleatorio,2020,90.802,61.5028
GoalBasedInsane,97980,61.5028,89.802
Aleatorio,2024,90.414,61.4612
GoalBasedInsane,97976,61.4612,89.414
Aleatorio,2052,90.614,61.4727
GoalBasedInsane,97948,61.4727,89.614
Aleatorio,2021,90.5324,61.4556
GoalBasedInsane,97979,61.4556,89.5324
Aleatorio,2053,90.6561,61.4843
GoalBasedInsane,97947,61.4843,89.6561
Aleatorio,2011,90.4311,61.4356
GoalBasedInsane,97989,61.4356,89.4311
Aleatorio,2009,90.3788,61.4584
GoalBasedInsane,97991,61.4584,89.3788
Aleatorio,2028,90.5616,61.4966
GoalBasedInsane,97972,61.4966,89.5616
Aleatorio,2025,90.2469,61.4981
GoalBasedInsane,97975,61.4981,89.2469
Aleatorio,2125,90.4009,61.4666
GoalBasedInsane,97875,61.4666,89.4009
Aleatorio,2030,90.5143,61.4365
GoalBasedInsane,97970,61.4365,89.5143
Aleatorio,1993,90.3813,61.4626
GoalBasedInsane,98007,61.4626,89.3813
Aleatorio,1981,90.4048,61.5127
GoalBasedInsane,98019,61.5127,89.4048
Aleatorio,2053,90.47,61.5139
GoalBasedInsane,97947,61.5139,89.47
Aleatorio,1949,90.4094,61.4894
GoalBasedInsane,98051,61.4894,89.4094
Aleatorio,2059,90.0204,61.5151
GoalBasedInsane,97941,61.5151,89.0204
Aleatorio,2071,90.4177,61.4012
GoalBasedInsane,97929,61.4012,89.4177
Aleatorio,2053,90.2002,61.3852
GoalBasedInsane,97947,61.3852,89.2002
Aleatorio,1981,90.3443,61.4985
GoalBasedInsane,98019,61.4985,89.3443
Aleatorio,2046,90.4047,61.3802
GoalBasedInsane,97954,61.3802,89.4047
Aleatorio,1953,90.4086,61.4358
GoalBasedInsane,98047,61.4358,89.4086
Aleatorio,2064,90.4511,61.5111
GoalBasedInsane,97936,61.5111,89.4511
Aleatorio,2012,90.3782,61.4206
GoalBasedInsane,97988,61.4206,89.3782
Aleatorio,1976,90.2955,61.539
GoalBasedInsane,98024,61.539,89.2955
Aleatorio,1992,90.2897,61.4965
GoalBasedInsane,98008,61.4965,89.2897
Aleatorio,2077,90.5705,61.4819
GoalBasedInsane,97923,61.4819,89.5705
Aleatorio,2052,90.6832,61.4796
GoalBasedInsane,97948,61.4796,89.6832
Aleatorio,2065,90.1864,61.511
GoalBasedInsane,97935,61.511,89.1864
Aleatorio,2064,90.3832,61.5316
GoalBasedInsane,97936,61.5316,89.3832
Aleatorio,2123,90.3528,61.4961
GoalBasedInsane,97877,61.4961,89.3528
Aleatorio,2013,90.1321,61.5171
GoalBasedInsane,97987,61.5171,89.1321
Aleatorio,2088,90.6039,61.4733
GoalBasedInsane,97912,61.4733,89.6039
Aleatorio,2036,90.2186,61.4663
GoalBasedInsane,97964,61.4663,89.2186
Aleatorio,2019,90.4304,61.4782
GoalBasedInsane,97981,61.4782,89.4304
Aleatorio,2038,90.2149,61.5233
GoalBasedInsane,97962,61.5233,89.2149
Aleatorio,2022,90.3838,61.5185
GoalBasedInsane,97978,61.5185,89.3838
Aleatorio,1988,90.2591,61.4878
GoalBasedInsane,98012,61.4878,89.2591
Aleatorio,1967,90.2796,61.4347
GoalBasedInsane,98033,61.4347,89.2796
Aleatorio,2076,90.2283,61.4651
GoalBasedInsane,97924,61.4651,89.2283
Aleatorio,2061,90.5298,61.5625
GoalBasedInsane,97939,61.5625,89.5298
Aleatorio,1981,90.2514,61.4937
GoalBasedInsane,98019,61.4937,89.2514
Aleatorio,2024,90.2149,61.4809
GoalBasedInsane,97976,61.4809,89.2149
Aleatorio,2011,90.4252,61.513
GoalBasedInsane,97989,61.513,89.4252
Aleatorio,1952,90.0984,61.4359
GoalBasedInsane,98048,61.4359,89.0984
Aleatorio,2102,90.4267,61.4118
GoalBasedInsane,97898,61.4118,89.4267
Aleatorio,2028,90.391,61.5262
GoalBasedInsane,97972,61.5262,89.391
Aleatorio,2047,90.4744,61.4468
GoalBasedInsane,97953,61.4468,89.4744
Aleatorio,2001,90.4553,61.4782
GoalBasedInsane,97999,61.4782,89.4553
Aleatorio,2049,90.3407,61.4639
GoalBasedInsane,97951,61.4639,89.3407
Aleatorio,2021,90.3617,61.4915
GoalBasedInsane,97979,61.4915,89.3617
Aleatorio,2069,90.2407,61.4957
GoalBasedInsane,97931,61.4957,89.2407
Aleatorio,2071,90.479,61.4879
GoalBasedInsane,97929,61.4879,89.479
Aleatorio,2076,90.3348,61.4372
GoalBasedInsane,97924,61.4372,89.3348
Aleatorio,2031,90.5446,61.4967
GoalBasedInsane,97969,61.4967,89.5446
Aleatorio,1945,90.618,61.4275
GoalBasedInsane,98055,61.4275,89.618
Aleatorio,1966,90.3947,61.5327
GoalBasedInsane,98034,61.5327,89.3947
Aleatorio,1952,90.2546,61.4965
GoalBasedInsane,98048,61.4965,89.2546
Aleatorio,2040,90.4828,61.4689
GoalBasedInsane,97960,61.4689,89.4828
Aleatorio,2014,90.3654,61.4598
GoalBasedInsane,97986,61.4598,89.3654
Aleatorio,2011,90.4724,61.4551
GoalBasedInsane,97989,61.4551,89.4724
Aleatorio,2037,90.3142,61.5166
GoalBasedInsane,97963,61.5166,89.3142
Aleatorio,2074,90.4397,61.4496
GoalBasedInsane,97926,61.4496,89.4397
Aleatorio,2013,90.3502,61.4934
GoalBasedInsane,97987,61.4934,89.3502
Aleatorio,2116,90.3308,61.3904
GoalBasedInsane,97884,61.3904,89.3308
Aleatorio,1995,90.2632,61.5264
GoalBasedInsane,98005,61.5264,89.2632
Aleatorio,1975,90.2704,61.4124
GoalBasedInsane,98025,61.4124,89.2704
Aleatorio,2026,90.4077,61.5201
GoalBasedInsane,97974,61.5201,89.4077
Aleatorio,2032,90.2953,61.4698
GoalBasedInsane,97968,61.4698,89.2953
Aleatorio,2164,90.5273,61.4678
GoalBasedInsane,97836,61.4678,89.5273
Aleatorio,1990,90.4889,61.4457
GoalBasedInsane,98010,61.4457,89.4889
Aleatorio,1916,90.2646,61.4675
GoalBasedInsane,98084,61.4675,89.2646
Aleatorio,2020,89.9644,61.5184
GoalBasedInsane,97980,61.5184,88.9644
Aleatorio,2052,90.5088,61.5026
GoalBasedInsane,97948,61.5026,89.5088
Aleatorio,2041,90.4762,61.4771
GoalBasedInsane,97959,61.4771,89.4762
Aleatorio,1987,90.3075,61.4931
GoalBasedInsane,98013,61.4931,89.3075
Aleatorio,1975,90.3873,61.3761
GoalBasedInsane,98025,61.3761,89.3873
Aleatorio,2109,90.2518,61.4182
GoalBasedInsane,97891,61.4182,89.2518
Aleatorio,2042,90.4672,61.475
GoalBasedInsane,97958,61.475,89.4672
Aleatorio,1979,90.2698,61.4662
GoalBasedInsane,98021,61.4662,89.2698
Aleatorio,2095,90.316,61.4584
GoalBasedInsane,97905,61.4584,89.316
Aleatorio,1952,90.2362,61.5121
GoalBasedInsane,98048,61.5121,89.2362
Aleatorio,2047,90.3004,61.4535
GoalBasedInsane,97953,61.4535,89.3004
Aleatorio,1965,90.429,61.4807
GoalBasedInsane,98035,61.4807,89.429
Aleatorio,2059,90.1365,61.511
GoalBasedInsane,97941,61.511,89.1365
Aleatorio,1946,90.2364,61.4726
GoalBasedInsane,98054,61.4726,89.2364
Aleatorio,2016,90.3497,61.521
GoalBasedInsane,97984,61.521,89.3497
Aleatorio,2019,90.2972,61.489
GoalBasedInsane,97981,61.489,89.2972
Aleatorio,2151,90.3766,61.4302
GoalBasedInsane,97849,61.4302,89.3766
Aleatorio,1942,90.7039,61.5315
GoalBasedInsane,98058,61.5315,89.7039
Aleatorio,2014,90.5809,61.4508
GoalBasedInsane,97986,61.4508,89.5809
Aleatorio,2029,90.5692,61.5367
GoalBasedInsane,97971,61.5367,89.5692
Aleatorio,1998,90.5425,61.4837
GoalBasedInsane,98002,61.4837,89.5425
Aleatorio,2082,90.2334,61.4915
GoalBasedInsane,97918,61.4915,89.2334
Aleatorio,1954,90.4846,61.5067
GoalBasedInsane,98046,61.5067,89.4846
Aleatorio,2064,90.3377,61.5062
GoalBasedInsane,97936,61.5062,89.3377
Aleatorio,2038,90.3945,61.5183
GoalBasedInsane,97962,61.5183,89.3945
Aleatorio,1988,90.2686,61.4801
GoalBasedInsane,98012,61.4801,89.2686
Aleatorio,2018,90.4286,61.4693
GoalBasedInsane,97982,61.4693,89.4286
Aleatorio,1999,90.4227,61.4845
GoalBasedInsane,98001,61.4845,89.4227
Aleatorio,2038,90.4671,61.4098
GoalBasedInsane,97962,61.4098,89.4671
Aleatorio,2107,90.0778,61.4953
GoalBasedInsane,97893,61.4953,89.0778
Aleatorio,2057,90.368,61.5257
GoalBasedInsane,97943,61.5257,89.368
Aleatorio,2055,90.0097,61.489
GoalBasedInsane,97945,61.489,89.0097
Aleatorio,2071,90.7021,61.4294
GoalBasedInsane,97929,61.4294,89.7021
Aleatorio,1895,90.6243,61.4576
GoalBasedInsane,98105,61.4576,89.6243
Aleatorio,1967,90.3559,61.4671
GoalBasedInsane,98033,61.4671,89.3559
Aleatorio,1989,90.2469,61.4557
GoalBasedInsane,98011,61.4557,89.2469
Aleatorio,2004,90.1447,61.4963
GoalBasedInsane,97996,61.4963,89.1447
Aleatorio,2019,90.2694,61.4424
GoalBasedInsane,97981,61.4424,89.2694
Aleatorio,1979,90.4715,61.4299
GoalBasedInsane,98021,61.4299,89.4715
Aleatorio,2066,90.4303,61.4452
GoalBasedInsane,97934,61.4452,89.4303
Aleatorio,1990,90.3477,61.4929
GoalBasedInsane,98010,61.4929,89.3477
Aleatorio,2003,90.4563,61.4435
GoalBasedInsane,97997,61.4435,89.4563
Aleatorio,2080,90.4303,61.4403
GoalBasedInsane,97920,61.4403,89.4303
Aleatorio,2063,90.2981,61.4853
GoalBasedInsane,97937,61.4853,89.2981
Aleatorio,2070,90.5,61.5268
GoalBasedInsane,97930,61.5268,89.5
Aleatorio,1972,90.6192,61.4623
GoalBasedInsane,98028,61.4623,89.6192
Aleatorio,1988,90.414,61.4795
GoalBasedInsane,98012,61.4795,89.414
Aleatorio,1986,90.4532,61.5208
GoalBasedInsane,98014,61.5208,89.4532
Aleatorio,2008,90.3332,61.4825
GoalBasedInsane,97992,61.4825,89.3332
Aleatorio,2039,90.4762,61.5014
GoalBasedInsane,97961,61.5014,89.4762
Aleatorio,2033,90.4255,61.448
GoalBasedInsane,97967,61.448,89.4255
Aleatorio,2034,90.2512,61.4964
GoalBasedInsane,97966,61.4964,89.2512
Aleatorio,1937,90.3862,61.4166
GoalBasedInsane,98063,61.4166,89.3862
Aleatorio,1967,90.543,61.4615
GoalBasedInsane,98033,61.4615,89.543
Aleatorio,2026,90.5385,61.5075
GoalBasedInsane,97974,61.5075,89.5385
Aleatorio,2060,90.5165,61.4449
GoalBasedInsane,97940,61.4449,89.5165
Aleatorio,2091,90.4448,61.4895
GoalBasedInsane,97909,61.4895,89.4448
Aleatorio,2010,90.3114,61.4902
GoalBasedInsane,97990,61.4902,89.3114
Aleatorio,1937,90.4022,61.4673
GoalBasedInsane,98063,61.4673,89.4022
Aleatorio,2046,90.4252,61.4921
GoalBasedInsane,97954,61.4921,89.4252
Aleatorio,2003,90.5796,61.4882
GoalBasedInsane,97997,61.4882,89.5796
Aleatorio,1995,90.4672,61.5517
GoalBasedInsane,98005,61.5517,89.4672
Aleatorio,2071,90.0367,61.4802
GoalBasedInsane,97929,61.4802,89.0367
Aleatorio,2015,90.1787,61.4274
GoalBasedInsane,97985,61.4274,89.1787
Aleatorio,2001,90.0435,61.4159
GoalBasedInsane,97999,61.4159,89.0435
Aleatorio,2063,90.7189,61.4333
GoalBasedInsane,97937,61.4333,89.7189
Aleatorio,2006,90.0793,61.4944
GoalBasedInsane,97994,61.4944,89.0793
Aleatorio,1977,90.1553,61.4093
GoalBasedInsane,98023,61.4093,89.1553
Aleatorio,1992,89.9799,61.5127
GoalBasedInsane,98008,61.5127,88.9799
Aleatorio,2013,90.31,61.5029
GoalBasedInsane,97987,61.5029,89.31
Aleatorio,2027,90.2417,61.5008
GoalBasedInsane,97973,61.5008,89.2417
Aleatorio,2098,90.2245,61.4475
GoalBasedInsane,97902,61.4475,89.2245
Aleatorio,2021,90.3493,61.4481
GoalBasedInsane,97979,61.4481,89.3493
Aleatorio,2111,90.4737,61.4786
GoalBasedInsane,97889,61.4786,89.4737
Aleatorio,2040,90.3196,61.4421
GoalBasedInsane,97960,61.4421,89.3196
Aleatorio,2040,90.6025,61.5095
GoalBasedInsane,97960,61.5095,89.6025
Aleatorio,2003,90.4398,61.4871
GoalBasedInsane,97997,61.4871,89.4398
Aleatorio,2017,90.4839,61.4723
GoalBasedInsane,97983,61.4723,89.4839
Aleatorio,1985,90.5144,61.508
GoalBasedInsane,98015,61.508,89.5144
Aleatorio,1957,90.1998,61.4892
GoalBasedInsane,98043,61.4892,89.1998
Aleatorio,2019,90.7251,61.4969
GoalBasedInsane,97981,61.4969,89.7251
Aleatorio,1970,90.1447,61.5055
GoalBasedInsane,98030,61.5055,89.1447
Aleatorio,1965,90.7868,61.5059
GoalBasedInsane,98035,61.5059,89.7868
Aleatorio,1989,90.5083,61.5155
GoalBasedInsane,98011,61.5155,89.5083
Aleatorio,2061,90.313,61.4788
GoalBasedInsane,97939,61.4788,89.313
Aleatorio,2007,90.3916,61.4639
GoalBasedInsane,97993,61.4639,89.3916
Aleatorio,2028,90.3752,61.5603
GoalBasedInsane,97972,61.5603,89.3752
Aleatorio,2027,90.1214,61.4591
GoalBasedInsane,97973,61.4591,89.1214
Aleatorio,1983,90.3389,61.4862
GoalBasedInsane,98017,61.4862,89.3389
Aleatorio,2005,90.2309,61.4506
GoalBasedInsane,97995,61.4506,89.2309
Aleatorio,2061,90.2348,61.4347
GoalBasedInsane,97939,61.4347,89.2348
Aleatorio,2013,90.3934,61.4553
GoalBasedInsane,97987,61.4553,89.3934
Aleatorio,2093,90.3985,61.4583
GoalBasedInsane,97907,61.4583,89.3985
Aleatorio,2020,90.4005,61.5157
GoalBasedInsane,97980,61.5157,89.4005
Aleatorio,2071,90.3047,61.5187
GoalBasedInsane,97929,61.5187,89.3047
Aleatorio,2135,90.3471,61.5358
GoalBasedInsane,97865,61.5358,89.3471
Aleatorio,1974,90.3941,61.4593
GoalBasedInsane,98026,61.4593,89.3941
Aleatorio,2040,90.402,61.4175
GoalBasedInsane,97960,61.4175,89.402
Aleatorio,2039,90.4188,61.4961
GoalBasedInsane,97961,61.4961,89.4188
Aleatorio,2060,90.4097,61.5529
GoalBasedInsane,97940,61.5529,89.4097
Aleatorio,2044,90.4017,61.4533
GoalBasedInsane,97956,61.4533,89.4017
Aleatorio,2104,90.2742,61.4806
GoalBasedInsane,97896,61.4806,89.2742
Aleatorio,2023,90.3653,61.4564
GoalBasedInsane,97977,61.4564,89.3653
Aleatorio,2038,90.5373,61.5129
GoalBasedInsane,97962,61.5129,89.5373
Aleatorio,2012,90.2232,61.4794
GoalBasedInsane,97988,61.4794,89.2232
Aleatorio,2054,90.3642,61.4618
GoalBasedInsane,97946,61.4618,89.3642
Aleatorio,2047,90.6761,61.4385
GoalBasedInsane,97953,61.4385,89.6761
Aleatorio,1969,90.3885,61.4898
GoalBasedInsane,98031,61.4898,89.3885
Aleatorio,2021,90.1395,61.4693
GoalBasedInsane,97979,61.4693,89.1395
Aleatorio,1974,90.8637,61.5274
GoalBasedInsane,98026,61.5274,89.8637
Aleatorio,2027,90.2496,61.4737
GoalBasedInsane,97973,61.4737,89.2496
Aleatorio,2085,90.3549,61.4559
GoalBasedInsane,97915,61.4559,89.3549
Aleatorio,2011,90.4043,61.508
GoalBasedInsane,97989,61.508,89.4043
Aleatorio,1958,90.6011,61.492
GoalBasedInsane,98042,61.492,89.6011
Aleatorio,2056,90.2043,61.4661
GoalBasedInsane,97944,61.4661,89.2043
Aleatorio,2075,90.3296,61.5147
GoalBasedInsane,97925,61.5147,89.3296
Aleatorio,2063,90.5041,61.4119
GoalBasedInsane,97937,61.4119,89.5041
Aleatorio,2006,90.4506,61.5051
GoalBasedInsane,97994,61.5051,89.4506
