Agente,Ganadas,PromedioTirosVictoria,PromedioTirosDerrota
Diagonales,59161,58.0883,53.9729
Aleatorio,40461,55.0741,58.1096
Diagonales,59539,58.1096,54.0741
Aleatorio,40769,54.9585,58.0952
Diagonales,59231,58.0952,53.9585
Aleatorio,41013,54.9914,58.0576
Diagonales,58987,58.0576,53.9914
Aleatorio,40575,54.9618,58.0724
Diagonales,59425,58.0724,53.9618
Aleatorio,40916,54.9427,58.042
Diagonales,59084,58.042,53.9427
Aleatorio,41035,54.9596,58.0653
Diagonales,58965,58.0653,53.9596
Aleatorio,40725,54.9408,58.0875
Diagonales,59275,58.0875,53.9408
Aleatorio,40495,54.9544,58.1031
Diagonales,59505,58.1031,53.9544
Aleatorio,41129,54.9849,58.0244
Diagonales,58871,58.0244,53.9849
Aleatorio,40827,54.9784,58.1146
Diagonales,59173,58.1146,53.9784
Aleatorio,40831,54.889,58.1115
Diagonales,59169,58.1115,53.889
Aleatorio,40761,54.9343,58.0815
Diagonales,59239,58.0815,53.9343
Aleatorio,40696,55.03,58.0497
Diagonales,59304,58.0497,54.03
Aleatorio,40890,54.9187,58.0736
Diagonales,59110,58.0736,53.9187
Aleatorio,40867,54.9312,58.1385
Diagonales,59133,58.1385,53.9312
Aleatorio,40620,54.9672,58.0731
Diagonales,59380,58.0731,53.9672
Aleatorio,40639,54.851,58.0788
Diagonales,59361,58.0788,53.851
Aleatorio,40558,55.0038,58.137
Diagonales,59442,58.137,54.0038
Aleatorio,40670,54.9941,58.1261
Diagonales,59330,58.1261,53.9941
Aleatorio,40906,54.947,58.0899
Diagonales,59094,58.0899,53.947
Aleatorio,40624,54.9663,58.0861
Diagonales,59376,58.0861,53.9663
Aleatorio,40805,54.8817,58.0721
Diagonales,59195,58.0721,53.8817
Aleatorio,41044,54.9847,58.0966
Diagonales,58956,58.0966,53.9847
Aleatorio,40584,54.84,58.0798
Diagonales,59416,58.0798,53.84
Aleatorio,40603,55.0552,58.0854
Diagonales,59397,58.0854,54.0552
Aleatorio,40521,54.8954,58.1232
Diagonales,59479,58.1232,53.8954
Aleatorio,40658,55.0286,58.1093
Diagonales,59342,58.1093,54.0286
Aleatorio,40801,54.9788,58.0923
Diagonales,59199,58.0923,53.9788
Aleatorio,40818,54.9877,58.1272
Diagonales,59182,58.1272,53.9877
Aleatorio,40876,54.9498,58.0482
Diagonales,59124,58.0482,53.9498
Aleatorio,40900,54.9598,58.0803
Diagonales,59100,58.0803,53.9598
Aleatorio,40797,55.0436,58.0682
Diagonales,59203,58.0682,54.0436
Aleatorio,40736,54.9772,58.0773
Diagonales,59264,58.0773,53.9772
Aleatorio,40861,54.9263,58.0523
Diagonales,59139,58.0523,53.9263
Aleatorio,40749,55.0176,58.0366
Diagonales,59251,58.0366,54.0176
Aleatorio,40759,55.0058,58.0545
Diagonales,59241,58.0545,54.0058
Aleatorio,40787,54.9353,58.0807
Diagonales,59213,58.0807,53.9353
